FUNC __main__.main 49.0273 1647557792.9523 67.4844 1647557792.9885 0
CMDLINE nn_forward.py
MEM 43.617188 1647557792.9289
MEM 46.136719 1647557792.9413
MEM 48.613281 1647557792.9519
MEM 52.667969 1647557792.9643
MEM 56.316406 1647557792.9768
MEM 67.484375 1647557792.9885
MEM 67.492188 1647557792.9995
